Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2021-09-27,284.6459045410156,286.87142745592587,283.4557166434828,286.552124596826,23571700
2021-09-28,274.3405456542969,281.365500217416,273.59548634862523,280.41721875877255,43186200
2021-09-29,274.80511474609375,277.4854216078808,273.847176788506,275.86950665981914,26353700
2021-09-30,272.79248046875,278.5111104233901,272.5021756474461,276.4597529494466,32343600
2021-10-01,279.7399597167969,280.591473121402,272.18282254521546,272.9859370571118,30086300
2021-10-04,273.9439392089844,278.43372747696765,271.1765495236149,278.0950532665713,31350700
2021-10-05,279.4110107421875,280.99789815078844,274.8534821527337,274.8534821527337,24993000
2021-10-06,283.6200866699219,284.12326974758565,276.2661722961501,276.52741998911324,28002600
2021-10-07,285.3038330078125,287.0358875725448,284.40395011964176,285.62313581249157,20430500
2021-10-08,285.3038330078125,287.0358875725448,284.2491267954087,286.6294726552418,17685700
2021-10-11,284.703857421875,288.3227596639586,283.2717640897847,283.436273068754,19298600
2021-10-12,283.3976135253906,285.87472765623266,282.8847741825881,285.7779593873109,17974100
2021-10-13,286.716552734375,287.65514882778945,283.9878470364655,285.3618855710783,23416300
2021-10-14,292.947998046875,293.4511516077719,288.18727770329605,289.5226027824532,27262900
2021-10-15,294.36077880859375,294.5930285619211,290.7902452200599,292.5513273292696,25384800
2021-10-18,297.341064453125,298.2312616290106,292.8899899851107,293.74150347823866,22729300
2021-10-19,298.2506103515625,299.2859450829905,297.2733011398646,298.36672045007583,17682100
2021-10-20,297.45721435546875,299.67308096523396,296.1992857888648,299.1989252574953,16537100
2021-10-21,300.69873046875,300.9502925339426,296.44116284819944,297.2249651602557,16918100
2021-10-22,299.1505126953125,301.01801913734624,297.83452925726135,300.35035649773357,17449300
2021-10-25,298.15386962890625,299.382740991033,296.5379251966183,299.344027778111,17554500
2021-10-26,300.0697021484375,302.28556817807555,298.6086107788768,300.9309012167668,28107300
2021-10-27,312.7069091796875,315.5420390354702,305.76903547667126,305.76903547667126,52588700
